Open.Houses,Change.Date,Change.Type,Photo,MLS,AR,Type,S,Address,City,BR,Baths.FTHQ.,SqFt,LP...SqFt,LP,SP,HOD,Lot.Sz,YB,DOM,latitude,longitude,unit_count
,05/13/2020,Leased,12.0,AR20025786MR,1543,LSE,LD,2311   S. Via Promenade  #72,ONTARIO,3,3.00 (2 0 1 0),1554,$1.48,"$2,300","$2,300",$0.00,,2019.0,59,34.0315147,-117.6541455,
,05/15/2020,Leased,23.0,AR20026483MR,1627,LSE,LD,7325   Belpine PL #26,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1224,$1.72,"$2,100","$2,100",,"1,300",1989.0,100,34.12073,-117.560997,
,04/29/2020,Leased,9.0,AR20057987MR,469,LSE,LD,1991   Annandale WAY ,POMONA,3,2.00 (2 0 0 0),1616,$1.33,"$2,150","$2,050",,"31,927",2008.0,44,33.8567147,-118.21911894070793,
,04/17/2020,Leased,15.0,AR20059779MR,1627,LSE,LD,7353   Ellena  #107,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1549,$1.47,"$2,280","$2,280",,"1,009",2003.0,21,34.1194217,-117.5561813,
,04/29/2020,Leased,20.0,AR20074092MR,469,LSE,LD,711   Bella WAY ,POMONA,3,4.00 (4 0 0 0),1850,$1.32,"$2,450","$2,450",,,2018.0,6,34.0324683,-117.7473586,
,06/02/2020,Leased,16.0,AR20097574MR,487,LSE,LD,683   Huron PL ,CLAREMONT,3,3.00 (2 0 1 0),1781,$1.49,"$2,650","$2,650",$109.00,,2016.0,10,34.1210621,-117.726971,
,06/18/2020,Leased,13.0,AR20101785MR,1627,LSE,LD,8167   Vineyard AVE #54,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1086,$1.61,"$1,750","$1,750",,"1,086",1987.0,21,34.104955,-117.6109537,
,06/09/2020,Leased,24.0,AR20103198MR,1627,LSE,LD,10352   Sparkling DR #1,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1815,$1.32,"$2,400","$2,400",,"1,150",2007.0,4,34.098558,-117.5789999,
,06/28/2019,Leased,22.0,CV19041219MR,1627,LSE,LD,6670   Brighton PL ,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),916,$2.35,"$2,150","$2,150",$0.00,"4,067",1988.0,67,34.1337023,-117.5950305,
,05/28/2019,Leased,22.0,CV19054833MR,1627,LSE,LD,8309   Vineyard AVE #1,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),882,$1.98,"$1,750","$1,750",,900,1988.0,77,34.102806,-117.6109648,
,06/12/2019,Leased,43.0,CV19057906MR,1627,LSE,LD,10375   Church ST #112,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1692,$1.42,"$2,400","$2,550",,"2,000",2008.0,84,34.114177,-117.5781782,
,06/19/2019,Leased,8.0,CV19061693MR,1543,LSE,LD,839  S Oaks AVE #A,ONTARIO,2,1.00 (1 0 0 0),800,$2.12,"$1,695","$1,695",$0.00,"17,794",1963.0,92,34.055284,-117.6763032,
,05/29/2019,Leased,14.0,CV19062771MR,1543,LSE,LD,1672  E Harvard PL ,ONTARIO,4,4.00 (3 0 1 0),1961,$1.22,"$2,400","$2,400",,"2,000",2017.0,63,34.0784587,-117.618199,
,05/25/2019,Leased,13.0,CV19070094MR,1795,LSE,LD,1494   Florence CT ,UPLAND,3,3.00 (2 0 1 0),1504,$1.40,"$2,100","$2,100",$0.00,"1,029",2008.0,52,34.107696,-117.6779091,
,05/31/2019,Leased,16.0,CV19080788MR,1627,LSE,LD,10376   Sparkling DR #3,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1322,$1.55,"$2,050","$2,050",,"1,150",2007.0,27,34.0985548,-117.5787061,
,05/31/2019,Leased,65.0,CV19081771MR,469,LSE,LD,2719   Crimson WAY ,POMONA,3,4.00 (3 0 1 0),2132,$1.22,"$2,600","$2,600",,,2016.0,48,,,
,07/22/2019,Leased,60.0,CV19092844MR,1627,LSE,LD,10376   Sparkling DR #1,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1815,$1.38,"$2,500","$2,400",$0.00,"1,150",2007.0,65,34.0985548,-117.5787061,
,06/11/2019,Leased,11.0,CV19094592MR,1627,LSE,LD,8380   Sunset Trail PL #D,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1110,$1.71,"$1,900","$1,900",,,1987.0,28,34.1015775,-117.5823849,
,06/06/2019,Leased,18.0,CV19097170MR,1543,LSE,LD,1200  S San Antonio AVE #10,ONTARIO,2,3.00 (2 0 1 0),900,$1.58,"$1,425","$1,425",$0.00,"51,401",1986.0,35,34.05131,-117.660648,
,06/26/2019,Leased,15.0,CV19098767MR,1795,LSE,LD,422   Corte Rojo  ,UPLAND,3,3.00 (2 0 1 0),1649,$1.29,"$2,130","$2,155",,"1,649",1982.0,51,34.0986493,-117.6803478,
,07/08/2019,Leased,9.0,CV19102998MR,1795,LSE,LD,888  N Palm AVE #4,UPLAND,3,2.00 (1 0 1 0),1100,$1.45,"$1,600","$1,600",$0.00,"22,446",1962.0,50,34.1048808,-117.6537115,
,05/24/2019,Leased,8.0,CV19105575MR,1455,LSE,LD,9301   Shadowood DR #B,MONTCLAIR,3,3.00 (2 0 1 0),1388,$1.40,"$1,950","$1,950",,"1,369",1980.0,17,34.084799,-117.699933,
,07/16/2019,Leased,19.0,CV19106172MR,487,LSE,LD,740  W 1st ST ,CLAREMONT,2,2.00 (2 0 0 0),1605,$1.81,"$2,900","$2,900",$0.00,,2004.0,62,,,
,07/08/2019,Leased,8.0,CV19109551MR,1455,LSE,LD,4512   Donner CT ,MONTCLAIR,2,1.00 (1 0 0 0),977,$1.69,"$1,650","$1,650",,630,1980.0,51,34.0645739,-117.7063689,
,06/02/2019,Leased,13.0,CV19111545MR,469,LSE,LD,1197  W Fernleaf AVE ,POMONA,3,3.00 (2 0 1 0),1666,$1.32,"$2,195","$2,195",,"19,350",2007.0,6,34.0457305,-117.7649363,
,06/02/2019,Leased,6.0,CV19112960MR,1627,LSE,LD,8224   Beringer PL ,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),984,$1.82,"$1,795","$1,795",,984,1989.0,17,34.1049083,-117.6178499,
,05/25/2019,Leased,11.0,CV19115905MR,1627,LSE,LD,6610   BRIGHTON PL ,RANCHO CUCAMONGA,3,3.00 (1 1 1 0),1463,$1.57,"$2,300","$2,300",,"4,000",1988.0,7,34.1341513,-117.5949235,
,08/29/2019,Leased,15.0,CV19115917MR,1795,LSE,LD,128   Stillman WAY #03,UPLAND,2,1.00 (1 0 0 0),882,$1.70,"$1,495","$1,495",,400,1971.0,104,34.0936631,-117.6736526,
,05/29/2019,Leased,44.0,CV19120780MR,1627,LSE,LD,8749   Pine Crest PL ,RANCHO CUCAMONGA,2,2.00 (1 0 1 0),1179,$1.57,"$1,850","$1,850",,"1,179",1984.0,4,34.0955347,-117.5919549,
,06/06/2019,Leased,28.0,CV19121582MR,1627,LSE,LD,10151   Arrow  #129,RANCHO CUCAMONGA,1,1.00 (1 0 0 0),708,$1.91,"$1,350","$1,350",,708,1986.0,7,34.0991961,-117.5831635,
,07/01/2019,Leased,6.0,CV19122546MR,1543,LSE,LD,2337  S Via Vista  #37,ONTARIO,2,3.00 (2 0 1 0),1430,$1.40,"$2,000","$2,000",,"1,430",2019.0,34,34.0315615,-117.6525891,
,06/29/2019,Leased,26.0,CV19123902MR,1543,LSE,LD,2242  S Greenwood PL #A,ONTARIO,2,3.00 (1 1 1 0),1061,$1.74,"$1,850","$1,850",,"1,061",1983.0,26,,,
,06/19/2019,Leased,32.0,CV19125310MR,1543,LSE,LD,1439  N Elderberry AVE ,ONTARIO,3,3.00 (2 0 1 0),1243,$1.29,"$1,600","$1,600",,"1,243",1978.0,13,34.0840182,-117.674165,
,06/19/2019,Leased,26.0,CV19125543MR,1627,LSE,LD,8692   9th ST #38,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1366,$1.61,"$2,200","$2,200",,"2,000",2007.0,12,34.0958234,-117.6155644,
,06/07/2019,Leased,33.0,CV19127696MR,1627,LSE,LD,8055   Pueblo PL #107,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1365,$1.61,"$2,200","$2,200",,"2,314",2006.0,8,34.1073744,-117.5972574,
,07/27/2019,Leased,35.0,CV19128489MR,1627,LSE,LD,8029   City View PL ,RANCHO CUCAMONGA,4,2.00 (2 0 0 0),1769,$1.36,"$2,400","$2,400",,"2,000",2013.0,55,34.108221,-117.613717,
,06/24/2019,Leased,17.0,CV19128774MR,469,LSE,LD,2776   Fina ST ,POMONA,3,4.00 (3 0 1 0),2026,$1.28,"$2,600","$2,600",,"23,955",2017.0,16,,,
,08/01/2019,Leased,14.0,CV19136817MR,1795,LSE,LD,1033   Springfield ST #A,UPLAND,3,2.00 (2 0 0 0),1200,$1.50,"$1,800","$1,800",$0.00,"8,060",1984.0,41,34.1087727,-117.6663602,
,08/30/2019,Leased,10.0,CV19137839MR,1627,LSE,LD,6941   Laguna PL #B2,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1110,$1.71,"$1,900","$1,900",,"1,500",1985.0,80,34.1281587,-117.5918535,
,06/30/2019,Leased,47.0,CV19139414MR,1795,LSE,LD,1478   Florence CT ,UPLAND,3,3.00 (2 0 1 0),1504,$1.46,"$2,200","$2,200",,"1,029",2008.0,14,34.1077016,-117.6775809,
,07/20/2019,Leased,27.0,CV19140542MR,1795,LSE,LD,1621   Redhill North DR ,UPLAND,2,2.00 (1 1 0 0),1399,$1.50,"$2,100","$2,100",$0.00,"3,000",1977.0,0,,,
,07/22/2019,Leased,18.0,CV19141095MR,1627,LSE,LD,9754   La Monica DR ,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1037,$1.93,"$2,000","$2,000",,"2,000",1983.0,36,34.1107066,-117.5920836,
,07/30/2019,Leased,23.0,CV19143484MR,469,LSE,LD,2731   Crimson WAY ,POMONA,3,4.00 (4 0 0 0),1840,$1.63,"$3,000","$3,000",,"50,298",2017.0,35,,,
,07/19/2019,Leased,10.0,CV19148225MR,1627,LSE,LD,11217   Terra VIS #D,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1417,$1.55,"$2,200","$2,200",,"3,538",1994.0,9,34.122837950000005,-117.57428940943151,
,07/09/2019,Leased,10.0,CV19148289MR,1627,LSE,LD,10151   Arrow  #75,RANCHO CUCAMONGA,1,1.00 (1 0 0 0),708,$2.05,"$1,450","$1,450",,708,1986.0,5,34.0991961,-117.5831635,
,06/29/2019,Leased,41.0,CV19149165MR,487,LSE,LD,141   Oberlin AVE #A,CLAREMONT,3,3.00 (1 1 1 0),1250,$2.16,"$2,695","$2,695",$0.00,"17,347",1992.0,5,34.0951399,-117.7207696,
,07/02/2019,Leased,17.0,CV19153272MR,1627,LSE,LD,8536   Baldy Vista DR ,RANCHO CUCAMONGA,2,1.00 (1 0 0 0),785,$1.90,"$1,495","$1,495",,"2,000",1986.0,4,34.0990221,-117.6183754,
,07/26/2019,Leased,15.0,CV19153412MR,487,LSE,LD,690   Huron DR ,CLAREMONT,3,3.00 (3 0 0 0),1685,$1.60,"$2,695","$2,720",$0.00,"43,357",2014.0,10,34.1210655,-117.7298059,
,07/12/2019,Leased,33.0,CV19160407MR,1795,LSE,LD,1520   Barcelona CT ,UPLAND,3,3.00 (2 0 1 0),1626,$1.35,"$2,195","$2,195",,"1,110",2011.0,3,,,
,08/09/2019,Leased,27.0,CV19160710MR,1627,LSE,LD,11257   Terra Vista PKWY #E,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1012,$2.08,"$2,100","$2,100",$260.00,,1994.0,14,34.11663825,-117.56856170339844,
,07/25/2019,Leased,14.0,CV19160853MR,1543,LSE,LD,2321  S Magnolia AVE #7D,ONTARIO,2,3.00 (2 0 1 0),1146,$1.44,"$1,650","$1,650",,"1,146",1982.0,14,34.0317119,-117.6718996,
,07/19/2019,Leased,6.0,CV19161368MR,1455,LSE,LD,9361   Shadowood DR #E,MONTCLAIR,2,1.00 (1 0 0 0),1053,$1.70,"$1,795","$1,795",,925,1980.0,9,34.083647,-117.700225,
,07/29/2019,Leased,23.0,CV19161469MR,1627,LSE,LD,7353   Ellena  #155,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1549,$1.47,"$2,280","$2,280",,"1,009",2003.0,18,34.1194217,-117.5561813,
,08/19/2019,Leased,1.0,CV19161931MR,469,LSE,LD,960  E Bonita AVE #56,POMONA,1,1.00 (1 0 0 0),680,$2.21,"$1,500","$1,500",,"354,884",1979.0,26,34.0960889,-117.7338404,
,08/02/2019,Leased,14.0,CV19165613MR,1455,LSE,LD,9863   Steamboat DR ,MONTCLAIR,3,3.00 (2 0 1 0),1368,$1.61,"$2,200","$2,200",,"5,000",1981.0,11,34.0751444,-117.6918014,
,07/24/2019,Leased,20.0,CV19166919MR,487,LSE,LD,182   Principia CT ,CLAREMONT,3,3.00 (2 0 1 0),1450,$1.97,"$2,850","$2,850",,"1,000",2004.0,11,34.0948336,-117.7248861,
,08/05/2019,Leased,14.0,CV19167184MR,1795,LSE,LD,235   Sinclair AVE ,UPLAND,3,2.00 (2 0 0 0),1125,$1.69,"$1,900","$1,900",,"1,125",1972.0,11,34.0916004,-117.6727562,
,08/22/2019,Leased,49.0,CV19168970MR,1795,LSE,LD,768   Pebble Beach DR #13,UPLAND,3,2.00 (2 0 0 0),1575,$1.62,"$2,550","$2,550",,"2,128",1982.0,23,34.1236114,-117.6412965,
,08/28/2019,Leased,10.0,CV19169123MR,1543,LSE,LD,930  S Palmetto AVE #18,ONTARIO,2,2.00 (2 0 0 0),817,$2.20,"$1,800","$1,800",,817,1989.0,39,34.053646,-117.6677607,
,09/02/2019,Leased,39.0,CV19170268MR,1455,LSE,LD,4956   Willow  #B,MONTCLAIR,3,3.00 (2 0 1 0),1436,$1.67,"$2,400","$2,400",,"1,436",2017.0,14,,,
,08/07/2019,Leased,16.0,CV19172055MR,487,LSE,LD,610   Mckenna ST ,CLAREMONT,3,3.00 (3 0 0 0),1470,$1.87,"$2,750","$2,750",,"49,352",2006.0,17,34.099957700000004,-117.70617915411111,
,09/02/2019,Leased,38.0,CV19172398MR,1455,LSE,LD,4956   Arrow  #H,MONTCLAIR,3,3.00 (2 0 1 0),1410,$1.70,"$2,400","$2,400",,"1,227",2017.0,44,34.0924837,-117.6969706,
,08/06/2019,Leased,19.0,CV19173923MR,469,LSE,LD,960  E Bonita AVE #110,POMONA,1,1.00 (1 0 0 0),680,$2.28,"$1,550","$1,550",,"354,884",1979.0,8,34.0960889,-117.7338404,
,09/01/2019,Leased,32.0,CV19176415MR,1543,LSE,LD,304  N Placer Privado  ,ONTARIO,4,3.00 (3 0 0 0),2118,$1.11,"$2,350","$2,350",$189.00,"1,573",2005.0,37,,,
,09/26/2019,Leased,15.0,CV19182180MR,1543,LSE,LD,1200  S San Antonio AVE #15,ONTARIO,2,2.00 (2 0 0 0),872,$1.66,"$1,450","$1,450",$0.00,"51,401",1986.0,42,34.05131,-117.660648,
,09/19/2019,Leased,29.0,CV19183401MR,487,LSE,LD,782  W 1st ST ,CLAREMONT,3,3.00 (3 0 0 0),1450,$1.86,"$2,695","$2,695",,"17,399",2004.0,49,,,
,11/01/2019,Leased,1.0,CV19184819MR,1795,LSE,LD,587  E Silverwood AVE #I,UPLAND,2,2.00 (1 0 1 0),800,$1.99,"$1,595","$1,595",$0.00,800,1960.0,91,34.1017388,-117.6730949,
,08/14/2019,Leased,14.0,CV19187148MR,1627,LSE,LD,8547   Sandstone PL ,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1231,$1.71,"$2,100","$2,100",$0.00,"2,000",1986.0,8,34.0985517,-117.6179667,
,09/09/2019,Leased,6.0,CV19189660MR,1543,LSE,LD,2131   Magnolia AVE #109,ONTARIO,2,2.00 (1 0 1 0),1060,$1.65,"$1,750","$1,750",,"1,060",1979.0,25,34.0351299,-117.6719326,
,09/26/2019,Leased,1.0,CV19190213MR,1627,LSE,LD,8167   Vineyard AVE #90,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1086,$1.66,"$1,800","$1,800",,"1,086",1985.0,49,34.104955,-117.6109537,
,09/27/2019,Leased,11.0,CV19194023MR,1627,LSE,LD,8463   Sunset Trail PL #B,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1339,$1.62,"$2,175","$2,200",,"1,339",1987.0,44,34.100636,-117.582529,
,09/05/2019,Leased,68.0,CV19195098MR,487,LSE,LD,754  W 1st ST ,CLAREMONT,3,3.00 (2 0 1 0),1450,$1.86,"$2,700","$2,700",$310.00,"19,700",2004.0,19,34.0945822,-117.7189063,
,10/17/2019,Leased,17.0,CV19195933MR,487,LSE,LD,132   Principia CT ,CLAREMONT,3,3.00 (2 0 1 0),1450,$1.90,"$2,750","$2,750",,,2004.0,56,34.0948262,-117.7243479,
,10/08/2019,Leased,10.0,CV19196568MR,1627,LSE,LD,9356   19th ST #D,ALTA LOMA,3,3.00 (2 0 1 0),1235,$1.64,"$2,025","$2,025",$0.00,"2,000",1988.0,48,34.1327732,-117.601588,
,11/01/2019,Leased,18.0,CV19199680MR,1543,LSE,LD,936   Pinyon CT ,ONTARIO,2,2.00 (2 0 0 0),1227,$1.43,"$1,750","$1,750",$325.00,"1,227",1980.0,66,34.0645726,-117.6668181,
,09/12/2019,Leased,23.0,CV19200225MR,1627,LSE,LD,10569   Wells DR ,RANCHO CUCAMONGA,4,3.00 (3 0 0 0),1547,$1.71,"$2,650","$2,650",,,2019.0,15,,,
,11/04/2019,Leased,13.0,CV19202092MR,487,LSE,LD,121   Cornell AVE ,CLAREMONT,3,4.00 (2 1 1 0),1430,$1.85,"$2,650","$2,650",,"36,472",2006.0,71,34.0953352,-117.7221262,
,09/20/2019,Leased,15.0,CV19206958MR,469,LSE,LD,572   San Francisco AVE #H,POMONA,2,1.00 (1 0 0 0),700,$1.86,"$1,300","$1,300",$0.00,"13,386",1971.0,8,34.0650339,-117.7423005,
,10/24/2019,Leased,17.0,CV19207212MR,487,LSE,LD,235   Marywood AVE ,CLAREMONT,2,1.00 (0 1 0 0),1100,$1.80,"$1,975","$1,975",,"2,200",1964.0,4,34.0933414,-117.7311167,
,09/18/2019,Leased,14.0,CV19211554MR,1627,LSE,LD,8313   Vineyard AVE #2,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),882,$1.87,"$1,650","$1,650",,900,1988.0,13,34.1025015,-117.6109691,
,09/10/2019,Leased,18.0,CV19211871MR,1543,LSE,LD,1031  S Palmetto AVE #H6,ONTARIO,2,3.00 (2 0 1 0),1072,$1.49,"$1,595","$1,595",,608,1981.0,6,34.0535325,-117.667562,
,10/12/2019,Leased,16.0,CV19214305MR,487,LSE,LD,237   Marywood AVE ,CLAREMONT,2,1.00 (0 1 0 0),1100,$1.80,"$1,975","$1,975",,"2,200",1964.0,35,34.0932688,-117.7311165,
,10/20/2019,Leased,20.0,CV19215063MR,487,LSE,LD,541   Wayland CT ,CLAREMONT,2,3.00 (2 1 0 0),1500,$1.40,"$2,100","$2,100",,"1,627",1981.0,38,34.0930383,-117.7056415,
,09/26/2019,Leased,19.0,CV19216965MR,1627,LSE,LD,11257   Terra Vista PKY #B,RANCHO CUCAMONGA,3,3.00 (3 0 0 0),1423,$1.62,"$2,300","$2,300",$0.00,"2,535",1994.0,2,34.11663825,-117.56856170339844,
,10/08/2019,Leased,15.0,CV19217872MR,487,LSE,LD,602   Asbury ST ,CLAREMONT,2,3.00 (3 0 0 0),1430,$1.85,"$2,650","$2,650",,"36,472",2006.0,19,34.0957386,-117.7227145,
,11/01/2019,Leased,19.0,CV19219569MR,487,LSE,LD,728  W 1st ST ,CLAREMONT,2,2.00 (2 0 0 0),1605,$1.62,"$2,600","$2,600",$289.00,,2004.0,47,,,
,12/11/2019,Leased,36.0,CV19223650MR,487,LSE,LD,636   Sycamore AVE ,CLAREMONT,2,2.00 (2 0 0 0),1112,$1.73,"$1,925","$1,925",,"145,117",1982.0,83,34.083648,-117.710393,
,10/12/2019,Leased,17.0,CV19225421MR,1795,LSE,LD,435  W 9th ST #E2,UPLAND,3,2.00 (2 0 0 0),1080,$1.71,"$1,850","$1,850",,"1,080",1979.0,17,,,
,09/29/2019,Leased,12.0,CV19225622MR,1543,LSE,LD,1420  N Elderberry AVE #49,ONTARIO,2,2.00 (1 0 1 0),1012,$1.88,"$1,900","$1,900",,"1,012",1978.0,49,34.0836989,-117.6739548,
,10/05/2019,Leased,12.0,CV19226239MR,1543,LSE,LD,323  N Placer Privado  ,ONTARIO,4,3.00 (3 0 0 0),2118,$1.07,"$2,275","$2,275",,"1,573",2005.0,10,,,
,10/01/2019,Leased,17.0,CV19226674MR,1795,LSE,LD,1476   Randy ST ,UPLAND,2,2.00 (1 0 1 0),1007,$1.42,"$1,425","$1,425",$0.00,"8,000",1965.0,3,34.0983386,-117.6769906,
,10/13/2019,Leased,12.0,CV19227704MR,1543,LSE,LD,1116  W Philadelphia ST ,ONTARIO,2,1.00 (1 0 0 0),918,$1.74,"$1,600","$1,600",,918,1973.0,5,34.0337852,-117.6697367,
,10/23/2019,Leased,7.0,CV19231092MR,469,LSE,LD,960  E Bonita AVE #20,POMONA,1,1.00 (1 0 0 0),680,$2.06,"$1,400","$1,400",,"354,884",1979.0,20,34.0960889,-117.7338404,
,10/24/2019,Leased,24.0,CV19233544MR,1627,LSE,LD,8167   Vineyard AVE #121,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1221,$1.72,"$2,100","$2,100",,"1,221",1986.0,22,34.104955,-117.6109537,
,10/16/2019,Leased,,CV19234090MR,1543,LSE,LD,1672  E Harvard PL ,ONTARIO,3,3.00 (2 0 1 0),2100,$1.05,"$2,200","$2,200",,"2,200",2016.0,0,34.0784587,-117.618199,
,12/04/2019,Leased,5.0,CV19239444MR,1627,LSE,LD,11450   Church ST #57,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1089,$1.83,"$1,990","$1,990",$0.00,"1,089",2004.0,55,34.1099471,-117.5562877,
